date,tweet_text,hashtags,tweet_url,likes,retweets,categories
16-11-08,"RT @EricTrump: Sean Hannity: If Hillary wins, you own it https://t.co/kQCwX3ttjK",,https://twitter.com/realDonaldTrump/status/795846520734183424,20150,9176,Crooked Hilary
16-11-08,"Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids, Michigan now.
Watch NH rally here:_ https://t.co/hP88anrfgk",,https://twitter.com/realDonaldTrump/status/795834203430645760,31321,9085,"Me, Myself and I"
16-11-08,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst_ https://t.co/zcH9crFIKM,,https://twitter.com/realDonaldTrump/status/795779987152523264,28712,9047,Presidential Elections
16-11-08,RT @detroitnews: .@IvankaTrump in Michigan: This is your movement۪https://t.co/0Sa7huoOP1 @realDonaldTrump https://t.co/cMXEqSHuDj,,https://twitter.com/realDonaldTrump/status/795845126744604673,20591,6917,Family
16-11-09,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,,https://twitter.com/realDonaldTrump/status/796315640307060738,627615,225164,"Me, Myself and I"
16-11-09,"Watching the returns at 9:45pm.
#ElectionNight #MAGA__ https://t.co/HfuJeRZbod",ElectionNight;MAGA,https://twitter.com/realDonaldTrump/status/796182637622816768,185160,45492,Presidential Elections
16-11-09,RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2_,,https://twitter.com/realDonaldTrump/status/796164216294084608,99809,17169,Presidential Elections
16-11-10,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4,,https://twitter.com/realDonaldTrump/status/796797436752707585,159176,44655,Army
16-11-11,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!",,https://twitter.com/realDonaldTrump/status/796900183955095552,214001,67010,"Me, Myself and I"
16-11-11,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,,https://twitter.com/realDonaldTrump/status/797034721075228672,183729,50039,MAGA
16-11-11,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z,ThankAVet,https://twitter.com/realDonaldTrump/status/797098212599496704,127213,41112,Army
16-11-11,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",,https://twitter.com/realDonaldTrump/status/796897928048766976,178499,36688,Family
16-11-11,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,,https://twitter.com/realDonaldTrump/status/797069763801387008,141527,28654,"Me, Myself and I"
16-11-12,"This will prove to be a great time in the lives of ALL Americans. We will unite and we will win, win, win!",,https://twitter.com/realdonaldtrump/status/797455295928791040,191717,50383,MAGA
16-11-13,"Wow, the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",,https://twitter.com/realdonaldtrump/status/797805407179866112,120044,32786,"Me, Myself and I"
16-11-13,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me. I wonder if it will change - doubt it?,,https://twitter.com/realdonaldtrump/status/797812048805695488,82073,20776,Fake News
16-11-13,Mitt Romney called to congratulate me on the win. Very nice!,,https://twitter.com/realdonaldtrump/status/797812630312382464,105251,14501,"Me, Myself and I"
16-11-13,"Jeb Bush, George W and George H.W. all called to express their best wishes on the win. Very nice!",,https://twitter.com/realdonaldtrump/status/797822192931262470,102220,17038,"Me, Myself and I"
16-11-13,"Governor John Kasich of the GREAT, GREAT, GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!",,https://twitter.com/realdonaldtrump/status/797823553244712960,119012,21443,"Me, Myself and I"
16-11-13,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",,https://twitter.com/realdonaldtrump/status/797832229800050688,88179,27640,Fake News
16-11-13,I will be interviewed on @60Minutes tonight after the NFL game - 7:00 P.M. Enjoy!,,https://twitter.com/realdonaldtrump/status/797839801735114752,74138,15500,"Me, Myself and I"
16-11-13,"The debates, especially the second and third, plus speeches and intensity of the large rallies, plus OUR GREAT SUPPORTERS, gave us the win!",,https://twitter.com/realdonaldtrump/status/797873313561198593,107159,22101,"Me, Myself and I"
16-11-15,If the election were based on total popular vote I would have campaigned in N.Y. Florida and California and won even bigger and more easily,,https://twitter.com/realdonaldtrump/status/798519600413601792,170317,46513,"Me, Myself and I"
16-11-15,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",,https://twitter.com/realdonaldtrump/status/798521053551140864,121251,36723,Government
16-11-15,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,,https://twitter.com/realdonaldtrump/status/798721142525665280,113657,26095,"Me, Myself and I"
16-11-16,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",,https://twitter.com/realdonaldtrump/status/798850338384023552,95778,31490,Fake News
16-11-16,"The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also, I have spoken to many foreign leaders.",,https://twitter.com/realdonaldtrump/status/798861300453539840,73172,19627,Fake News
16-11-16,"I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia, U.K., China, Saudi Arabia, Japan",,https://twitter.com/realdonaldtrump/status/798862483255652352,83791,24205,"Me, Myself and I"
16-11-16,"Australia, New Zealand, and more. I am always available to them. @nytimes is just upset that they looked like fools in their coverage of me.",,https://twitter.com/realdonaldtrump/status/798864532433211392,85207,22638,"Me, Myself and I"
16-11-17,"My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today. #MAGA",MAGA,https://twitter.com/realdonaldtrump/status/799232214793760768,91609,20128,MAGA
16-11-17,"Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico",,https://twitter.com/realdonaldtrump/status/799432403727028224,158462,46535,"Me, Myself and I"
16-11-17,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,,https://twitter.com/realdonaldtrump/status/799435824622252032,112313,27758,"Me, Myself and I"
16-11-18,"RT @transition2017: President-elect Trump announces selections for Attorney General, National Security Advisor, CIA Director. More here: ht…",,https://twitter.com/realdonaldtrump/status/799656577250848768,,,Presidential Elections
16-11-18,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,,https://twitter.com/realdonaldtrump/status/799742847310319616,115748,25139,MAGA
16-11-19,I settled the Trump University lawsuit for a small fraction of the potential award because as President I have to focus on our country.,,https://twitter.com/realdonaldtrump/status/799969130237542400,86121,15410,"Me, Myself and I"
16-11-19,The ONLY bad thing about winning the Presidency is that I did not have the time to go through a long but winning trial on Trump U. Too bad!,,https://twitter.com/realdonaldtrump/status/799970371705380864,59123,12285,"Me, Myself and I"
16-11-19,"Our wonderful future V.P. Mike Pence was harassed last night at the theater by the cast of Hamilton, cameras blazing.This should not happen!",,https://twitter.com/realdonaldtrump/status/799972624713420804,116356,31963,Other
16-11-19,"The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man, Mike Pence. Apologize!",,https://twitter.com/realdonaldtrump/status/799974635274194947,141486,41193,Other
16-11-20,"The cast and producers of Hamilton, which I hear is highly overrated, should immediately apologize to Mike Pence for their terrible behavior",,https://twitter.com/realdonaldtrump/status/800298286204723200,99049,24011,Other
16-11-20,Numerous patriots will be coming to Bedminster today as I continue to fill out the various positions necessary to MAKE AMERICA GREAT AGAIN!,,https://twitter.com/realdonaldtrump/status/800303776615854080,64782,13282,MAGA
16-11-20,"I watched parts of @nbcsnl Saturday Night Live last night. It is a totally one-sided, biased show - nothing funny at all. Equal time for us?",,https://twitter.com/realdonaldtrump/status/800329364986626048,65389,15122,"Me, Myself and I"
16-11-20,"General James ""Mad Dog"" Mattis, who is being considered for Secretary of Defense, was very impressive yesterday. A true General's General!",,https://twitter.com/realdonaldtrump/status/800332639844659201,78240,20538,Government
16-11-20,I have always had a good relationship with Chuck Schumer. He is far smarter than Harry R and has the ability to get things done. Good news!,,https://twitter.com/realdonaldtrump/status/800339165829283840,52932,11004,Government
16-11-21,@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,,https://twitter.com/realdonaldtrump/status/800850810490023937,96867,39500,Government
16-11-21,Prior to the election it was well known that I have interests in properties all over the world.Only the crooked media makes this a big deal!,,https://twitter.com/realdonaldtrump/status/800885097775955974,75323,17951,"Me, Myself and I"
16-11-21,Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,,https://twitter.com/realdonaldtrump/status/800887087780294656,61875,20666,Government
16-11-22,I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice,,https://twitter.com/realdonaldtrump/status/801021596228091905,64678,16360,Fake News
16-11-22,Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!,,https://twitter.com/realdonaldtrump/status/801025256487940096,36668,8920,Fake News
16-11-22,The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?,,https://twitter.com/realdonaldtrump/status/801026635579424768,46843,11232,Fake News
16-11-22,Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.,,https://twitter.com/realdonaldtrump/status/801029194906038272,76624,16130,Government
16-11-22,President-elect Donald J. Trump's CIA Director Garners Praise' https://t.co/UFdLWtwBEQhttps://t.co/MrPaG7OziQ,,https://twitter.com/realdonaldtrump/status/801057215226544128,29467,8206,"Me, Myself and I"
16-11-22,"Jeff Sessions, a Fitting Selection for Attorney General' https://t.co/LjKTkAZSFy",,https://twitter.com/realdonaldtrump/status/801057586162319360,35816,9991,Government
16-11-22,The meeting with the @nytimes is back on at 12:30 today. Look forward to it!,,https://twitter.com/realdonaldtrump/status/801087976889520128,31976,6806,"Me, Myself and I"
16-11-22,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,,https://twitter.com/realdonaldtrump/status/801110690387857408,133939,25728,Government
16-11-22,Bus crash in Tennessee so sad & so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,,https://twitter.com/realdonaldtrump/status/801219908910469120,126710,26341,World News
16-11-23,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Th… https://t.co/RY9mGGjrXm",,https://twitter.com/realdonaldtrump/status/801610648010575872,160080,46103,Other
16-11-23,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN",,https://twitter.com/realdonaldtrump/status/801629061831331840,177519,45950,MAGA
16-11-24,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",,https://twitter.com/realdonaldtrump/status/801805564577808385,132190,29130,"Me, Myself and I"
